start_id,end_id,relation_type,role,share,percentage,start_date,end_date
P0010,C0002,DIRECTOR_OF,Director,,,2022-10-06,2022-12-23
P0007,C0002,DIRECTOR_OF,Secretary,,,2023-10-03,2024-01-31
P0006,C0002,DIRECTOR_OF,Director,,,2023-08-07,2024-01-31
P0008,C0002,DIRECTOR_OF,Secretary,,,2022-10-06,2023-10-03
P0011,C0002,DIRECTOR_OF,Secretary,,,2022-10-06,2023-10-03
P0012,C0002,DIRECTOR_OF,Director,,,2022-12-22,2023-08-08
P0009,C0002,DIRECTOR_OF,Director,,,2022-10-06,2023-08-08
P0005,C0002,DIRECTOR_OF,Secretary,,,2023-10-03,2024-01-31
P0004,C0002,DIRECTOR_OF,Director,,,2023-08-07,2024-01-31
C0001,C0002,OWNS,Shareholder,,100,2022-11-22,2024-01-31
P0008,C0003,DIRECTOR_OF,Secretary,,,2022-10-06,2023-10-03
P0010,C0003,DIRECTOR_OF,Director,,,2022-10-06,2022-12-23
P0004,C0003,DIRECTOR_OF,Director,,,2023-08-07,2024-01-31
P0009,C0003,DIRECTOR_OF,Director,,,2022-10-06,2023-08-08
P0005,C0003,DIRECTOR_OF,Secretary,,,2023-10-03,2024-01-31
P0007,C0003,DIRECTOR_OF,Secretary,,,2023-10-03,2024-01-31
P0011,C0003,DIRECTOR_OF,Secretary,,,2022-10-06,2023-10-03
P0012,C0003,DIRECTOR_OF,Director,,,2022-12-22,2023-08-08
P0006,C0003,DIRECTOR_OF,Director,,,2023-08-07,2024-01-31
C0001,C0003,OWNS,Shareholder,,100,2022-11-22,2024-01-31
C0002,C0004,OWNS,Shareholder,,95,2022-10-25,2024-03-25
C0003,C0004,OWNS,Shareholder,,5,2022-10-25,2024-03-25
P0001,C0004,DIRECTOR_OF,Director,,,2022-10-25,2024-03-25
P0002,C0004,DIRECTOR_OF,Commissioner,,,2022-10-25,2024-03-25
C0002,C0005,OWNS,Shareholder,,1,2023-12-28,2024-01-19
C0003,C0005,OWNS,Shareholder,,99,2023-12-28,2024-01-19
C0011,C0005,OWNS,Shareholder,,50,2022-12-29,2023-09-05
C0010,C0005,OWNS,Shareholder,,1,2021-07-19,2023-09-05
C0009,C0005,OWNS,Shareholder,,99,2021-07-19,2023-09-05
P0014,C0005,DIRECTOR_OF,Director,,,2021-07-19,2022-01-28
P0002,C0005,DIRECTOR_OF,Director,,,2023-12-28,2024-01-19
P0013,C0005,DIRECTOR_OF,Commissioner,,,2021-07-19,2023-09-11
P0015,C0005,DIRECTOR_OF,Director,,,2022-01-28,2023-09-05
P0003,C0005,DIRECTOR_OF,Commissioner,,,2023-12-28,2024-01-19
C0002,C0006,OWNS,Shareholder,,5,2023-03-27,2024-04-08
C0003,C0006,OWNS,Shareholder,,95,2023-03-27,2024-04-08
P0001,C0006,DIRECTOR_OF,Commissioner,,,2023-03-27,2024-04-08
P0002,C0006,DIRECTOR_OF,Director,,,2023-03-27,2024-04-08
C0002,C0007,OWNS,Shareholder,,5,2023-02-22,2024-01-23
C0003,C0007,OWNS,Shareholder,,95,2023-02-22,2024-01-23
P0001,C0007,DIRECTOR_OF,Commissioner,,,2023-02-22,2024-01-23
P0002,C0007,DIRECTOR_OF,Director,,,2023-02-22,2024-01-23
C0002,C0008,OWNS,Shareholder,,5,2023-02-22,2024-04-08
C0003,C0008,OWNS,Shareholder,,95,2023-02-22,2024-04-08
P0001,C0008,DIRECTOR_OF,Director,,,2023-02-22,2024-04-08
P0002,C0008,DIRECTOR_OF,Commissioner,,,2023-02-22,2024-04-08
